PT625_1,PT621_1,PT620_1,PT616_1,PT612_1,TE607_1,TE604_1,TE603_1,PT625_2,PT621_2,PT620_2,PT616_2,PT612_2,TE607_2,TE604_2,TE603_2,ITS1,ITS2,ITS3,ITS4,ITS5
20.29765625,14.378875299999999,4.786637692,61.19453125,52.39960938,227.284375,222.384375,219.584375,20.297917673485053,14.378877151925979,4.786638308494581,61.194523368455734,52.39893449969211,227.28730230710772,222.38723919760082,219.58720313502548,1.0,1.0,1.0,1.0,1.0
19.29648438,14.57853468,4.786637692,60.4984375,52.09882813,227.0,222.384375,219.584375,19.296756221180367,14.578536733765857,4.786638366322439,60.49842897722127,52.0980941824759,227.0031978855178,222.3875078624326,219.58746841714867,1.0,1.0,1.0,1.0,1.0
19.89804688,14.28011905,4.786637692,60.2921875,52.39960938,227.0,222.1,219.3875,19.898352887486414,14.280121246106663,4.786638428126001,60.292178227803156,52.398803538459255,227.00349098079,222.10341562481696,219.39087390990335,1.0,1.0,1.0,1.0,1.0
19.996875,14.378875299999999,4.786637692,61.19453125,51.896875,227.590625,222.384375,219.584375,19.99721008202325,14.378877709427785,4.786638494083446,61.194520995804105,51.89600537862789,227.59443867224118,222.38810143257083,219.5880545137565,1.0,1.0,1.0,1.0,1.0
18.3984375,14.378875299999999,4.786637692,60.4984375,52.39960938,227.284375,222.384375,219.584375,18.398772816189283,14.378877920586486,4.786638564376858,60.498426474006344,52.39865438383051,227.28851731537372,222.38842801163108,219.58837698092097,1.0,1.0,1.0,1.0,1.0
19.79921875,14.378875299999999,4.786637692,61.5984375,52.0,227.284375,222.1,219.584375,19.799610542052786,14.37887814532897,4.786638639192226,61.598425310742144,51.9989710105736,227.28887256189734,222.10439497214622,219.58872019230918,1.0,1.0,1.0,1.0,1.0
18.896875,14.378875299999999,4.786637692,60.79921875,51.49726563,227.0,222.384375,219.3875,18.89728033230725,14.37887838422567,4.786638718719444,60.79920570874973,51.49616102908082,227.00486908199082,222.3891450782174,219.3922057961465,1.0,1.0,1.0,1.0,1.0
20.39648438,14.47977842,4.786637692,61.29765625,50.796875,227.0,222.384375,219.584375,20.396957856421302,14.479781781282043,4.786638803152315,61.2976420205895,50.79569582018939,227.00526949378298,222.38953734837665,219.58947235021543,1.0,1.0,1.0,1.0,1.0
19.29648438,14.378875299999999,4.786637692,60.59296875,51.29960938,227.0,222.1,219.584375,19.296968416379496,14.378878906822157,4.786638892688547,60.59295355075404,51.29832257165166,227.00569410758882,222.10557119513425,219.58988309275801,1.0,1.0,1.0,1.0,1.0
19.29648438,14.378875299999999,4.786637692,60.89375,51.79804688,227.0,222.384375,219.584375,19.297006649935796,14.37887919172148,4.786638987529751,60.89373351877249,51.79664493744479,227.00614387953223,222.39039395510946,219.5903181715734,1.0,1.0,1.0,1.0,1.0
20.1,14.47977842,4.786637692,60.59296875,52.0,227.284375,222.1,219.3875,20.10058615710852,14.47978264259953,4.786639087881448,60.59295107985106,51.9984835736496,227.291003077217,222.10647689023892,219.3938977881913,1.0,1.0,1.0,1.0,1.0
